X1,LOCAL_VOTACAO,FORNECIDOS,OBTIDOS
8,ESCOLA RURAL MUNICIPAL VICENTE MACHADO,"AGUDOS DO SUL - PR 419, KM 21. CEP: 83850000","Agudos do Sul - PR-419, NA. CEP: 83850000"
11,ESCOLA RURAL MUNICIPAL VITAL BRASIL,AGUDOS DO SUL - ESTRADA PRINCIPAL. CEP: 83850000,"Agudos do Sul - Estrada Principal Taboao, NA. CEP: 83850000"
32,ESCOLA ESTADUAL JARDIM APUCARANA,"ALMIRANTE TAMANDARÉ - RUA INDAIAL, 60. CEP: 83505100","Almirante Tamandaré - Rua Indaial, 60. CEP: 83504670"
71,ESCOLA MUNICIPAL SÃO GABRIEL,"FAZENDA RIO GRANDE - RUA DINAMARCA, 737. CEP: 83823208","Fazenda Rio Grande - Rua Dinamarca, 737. CEP: 83823208"
84,CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL -  CACHOEIRA,"ARAUCÁRIA - RUA ANTONIO PINHO RIBAS, 24. CEP: 83701204","Araucária - Rua Antônio Pinho Ribas, NA. CEP: 83701200"
122,ESCOLA MUNICIPAL PROFESSOR AMBROSIO IANTAS,"ARAUCÁRIA - RUA PAU-BRASIL, 50. CEP: 83705420","Araucária - Rua Pau-Brasil, 50. CEP: 83705420"
123,ESCOLA MUNICIPAL PROFESSORA ELVIRA DE FRANÇA BUSCHMANN,"ARAUCÁRIA - RUA UIRAPURU, 228. CEP: 83706070","Araucária - Rua Uirapuru, 228. CEP: 81330200"
140,BANDA MUNICIPAL DE ARAUCÁRIA,"ARAUCÁRIA - RUA CORONEL JOÃO ANTONIO XAVIER, 906. CEP: 83702420","Araucária - Rua Coronel João Antonio Xavier, 906. CEP: 83702420"
151,ESCOLA RURAL MUNICIPAL ITAMBE,"BALSA NOVA - RUA DAVID FAY, S/N. CEP: 83650000","Balsa Nova - Estrada Para Balsa Nova, NA. CEP: 83650000"
158,ESCOLA MUNICIPAL DE CANDIDOS,"ITAPERUÇU - RUA JOÃO DIVETE BETIM, S/N. CEP: 83560000","Itaperuçu - Rua João Divete Betim, NA. CEP: 83560000"
204,ESCOLA ESTADUAL RURAL NOSSA SENHORA DA LUZ (DESATIVADA),"CAMPO LARGO - RUA PRINCIPAL, SN. CEP: 83600000","Campo Largo - Estrada Figueiredo, NA. CEP: 83601630"
233,ESCOLA MUNICIPAL HANS ERNEST SCHMIDT,CAMPO LARGO - RUA PARAIBA - SN. CEP: 83604300,"Campo Largo - Rua Paraíba, NA. CEP: 83604300"
247,COLÉGIO ESTADUAL SEVERO FERREIRA RUPPEL,"TUNAS DO PARANÁ - RUA JUVENAL GONÇALVES DOS REIS, 145. CEP: 83480000","Tunas do Paraná - Rua Juvenal G dos Reis 145, 145. CEP: 83480000"
266,ESCOLA RURAL MUNICIPAL MILTON TEILO,"CERRO AZUL - RUA PRINCIPAL, S/N. CEP: 83570000","Cerro Azul - Estrada Marginal do Rio Ponta Grossa, NA. CEP: 83570000"
267,ESCOLA RURAL MUNICIPAL  BARRA BONITA I,"CERRO AZUL - RUA PRINCIPAL, S/N. CEP: 83570000","Cerro Azul - Travessa Souza, NA. CEP: 83570000"
272,ESCOLA RURAL MUNICIPAL ANGELO MOTTIM,"CERRO AZUL - RUA PRINCIPAL, S/N. CEP: 83570000","Cerro Azul - Travessa Souza, NA. CEP: 83570000"
273,ESCOLA RURAL MUNICIPAL RIBEIRÃO BONITO DO TURVO,"CERRO AZUL - RUA PRINCIPAL, S/N. CEP: 83570000","Cerro Azul - Travessa Souza, NA. CEP: 83570000"
292,ESCOLA MUNICIPAL JOSE BRUNETTI GUGELMIN,"PINHAIS - RUA MALASIA, 385. CEP: 83320270","Pinhais - Rua Malásia, 385. CEP: 83320270"
316,COLÉGIO ESTADUAL PROFESSOR DANIEL ROCHA,"PINHAIS - RUA NATAL FABRI, 01. CEP: 83326055","Pinhais - Rua Natal Fabri, 01. CEP: 83326055"
321,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA EMBRAPA FLORESTAS-EMBRAPA,COLOMBO - BR 476 - ESTRADA DA RIBEIRA KM 111. CEP: 83411000,"Colombo - Estrada da Ribeira, 476. CEP: 83411"
331,ESCOLA RURAL MUNICIPAL IMBUIAL DA ROSEIRA,"COLOMBO - ESTRADA DA RIBEIRA, 564 KM 23. CEP: 83411000","Colombo - Estrada da Ribeira, 564. CEP: 83411"
332,COLÉGIO ESTADUAL RUI BARBOSA,"COLOMBO - RUA PIETRO CANESTRARO FILHO, 116. CEP: 83412100","Colombo - Rua Ricardo Canestraro, 116. CEP: 83412150"
336,SALAO DA PAROQUIA DE COLONIA FARIA,"COLOMBO - RUA PRESIDENTE FARIA, 3423. CEP: 83411050","Colombo - Rua Presidente Faria, 3423. CEP: 83411050"
345,ESCOLA MUNICIPAL BARAO DO MAUA,"COLOMBO - RUA ANAIR BONATO TOSIN, 580. CEP: 83413580","Colombo - Rua Anair Bonato Tosin, NA. CEP: 83413580"
