,idLV,SG_UF,CD_LOCALIDADE_TSE,NM_LOCALIDADE,NR_ZONA,NR_LOCVOT,NM_LOCVOT,DS_ENDERECO,DS_BAIRRO,NR_CEP,n_locs,street_name,street_number,locality,postal_code,sub_locality,provider,latitude,longitude,dispersion,clusters_count,providers_count,levenshtein_match_street_name
1,308721861015,BA,30872,"DIAS D'ÁVILA",186,1015,"ESCOLA MUNICIPAL CLAUDIONOR SIMÕES DO CARMO","RUA BETA, 44 - ZONA URBANA",ENTRONCAMENTO,42850000,9,"Rua Beta",44,"Dias d'Ávila",42850000,,here_geocoder,-12.5954576,-38.327933,69.469556008179,1,2,0.21621621621622
2,308721861031,BA,30872,"DIAS D'ÁVILA",186,1031,"CENTRO EDUCACIONAL NORMÉLIO MOURA DA COSTA","RUA JOAQUIM NABUCO SN - ZONA URBANA","GARCIA D'ÁVILA",42850000,12,"Rua Joaquim Nabuco",,"Dias d'Ávila",42850000,"Dias d'Ávila",here_geocoder,-12.60892,-38.29287,-1,2,1,0.36734693877551
3,308721861040,BA,30872,"DIAS D'ÁVILA",186,1040,"ESCOLA MUNICIPAL PROF. LUIZ SANDE","RUA CAMPO ALEGRE, 543 - ZONA URBANA","LESSA RIBEIRO",42850000,8,"Rua Campo Alegre",543,"Dias d'Ávila",42850000,"Dias d'Ávila",here_geocoder,-12.6087443,-38.3105791,48.37185725845,1,2,0.34782608695652
4,308721861066,BA,30872,"DIAS D'ÁVILA",186,1066,"COLÉGIO PADRE TORREND","RUA PROFESSOR FERNANDO LUZ, S/N - ZONA URBANA","CRISTO REI",42850000,12,"Rua Professor Fernando",,"Dias d'Ávila",42850000,"Dias d'Ávila",here_geocoder,-12.60397,-38.30503,896.07935852289,1,2,0.41509433962264
5,308721861090,BA,30872,"DIAS D'ÁVILA",186,1090,"ESCOLA MADRE DIAMANTINA","RUA SANTA ISABEL, S/N - ZONA URBANA",GENARO,42850000,15,"Rua Santa Isabel",,"Dias d'Ávila",42850000,"Dias d'Ávila",here_geocoder,-12.61679,-38.28927,3284.8824155508,1,2,0.41025641025641
6,308721861104,BA,30872,"DIAS D'ÁVILA",186,1104,"ESCOLA MUNICIPAL PROF. ANFRÍSIA SANTIAGO","RUA CAJAYBA 22 - ZONA URBANA","NOVA DIAS D'ÁVILA",42850000,8,"Rua Nova",22,"Dias d'Ávila",42850000,"Dias d'Ávila",here_geocoder,-12.6122571,-38.2908355,998.77366016086,2,2,0.17777777777778
7,308721861112,BA,30872,"DIAS D'ÁVILA",186,1112,"ESCOLA CRISTO REI","RUA DA SUÉCIA - ZONA URBANA","CRISTO REI",42850000,9,"Rua da Suécia",,"Dias d'Ávila",42850000,"Dias d'Ávila",here_geocoder,-12.60112,-38.30971,3942.4336320092,1,2,0.37837837837838
8,308721861139,BA,30872,"DIAS D'ÁVILA",186,1139,"COLÉGIO ESTADUAL PROFESSOR EDILSON SOUTO FREIRE","RUA DA  HOLANDA, S/N - ZONA URBANA",URBIS,42850000,12,"Rua da Holanda",,"Dias d'Ávila",42850000,"Dias d'Ávila",here_geocoder,-12.6177499,-38.29933,11.017122887816,1,2,0.38888888888889
9,308721861155,BA,30872,"DIAS D'ÁVILA",186,1155,"ESCOLA MUNICIPAL MARIA SANTIAGO BACELAR DE SANTANA","RUA PRIMEIRO DE JANEIRO, S/N - ZONA URBANA",CONCÓRDIA,42850000,10,"Rua Primeiro de Janeiro",,"Dias d'Ávila",42850000,,here_geocoder,-12.60435,-38.32592,21.541521673902,1,2,0.46
10,308721861163,BA,30872,"DIAS D'ÁVILA",186,1163,"ESCOLA PROFESSORA ALTAIR DA COSTA LIMA","RUA GETÚLIO VARGAS, S/N - ZONA URBANA",CENTRO,42850000,11,"Rua Getúlio Vargas",,"Dias d'Ávila",42850000,"Dias d'Ávila",here_geocoder,-12.61197,-38.30312,2342.5499882411,1,2,0.45238095238095
11,308721861171,BA,30872,"DIAS D'ÁVILA",186,1171,"ESPECIAL ESCOLA PROFESSORA ALTAIR DA COSTA LIMA","RUA GETÚLIO VARGAS, S/N - ZONA URBANA",CENTRO,42850000,1,"Rua Getúlio Vargas",,"Dias d'Ávila",42850000,"Dias d'Ávila",here_geocoder,-12.61197,-38.30312,2342.5499882411,1,2,0.45238095238095
12,308721861180,BA,30872,"DIAS D'ÁVILA",186,1180,"ESCOLA MUNICIPAL NESTOR SILVA CARVALHO","RUA DA ASSEMBLÉIA - ZONA RURAL","DISTRITO DE LEANDRINHO",42850000,2
13,308721861198,BA,30872,"DIAS D'ÁVILA",186,1198,"ESCOLA MUNICIPAL EUTRÓDIA CARVALHO DOS SANTOS","RUA RUI BARBOSA, 10 - ZONA URBANA",URBIS,42850000,5,"Rua Rui Barbosa",10,"Dias d'Ávila",42850000,"Dias d'Ávila",here_geocoder,-12.6181004,-38.3030082,67.397279183755,1,2,0.41666666666667
14,308721861201,BA,30872,"DIAS D'ÁVILA",186,1201,"ESCOLA MUNICIPAL BIRIBEIRA","DISTRITO DE BIRIBEIRA - ZONA RURAL","DISTRITO DE BIRIBEIRA",42850000,1
15,308721861210,BA,30872,"DIAS D'ÁVILA",186,1210,"ESCOLA MUNICIPAL FLORÊNCIO BORGES DE SANTANA","RUA SANTA TEREZINHA, SN (RUA DA ÁGUA MINERAL DIAS D ÁVILA",IMBASSAY,42850000,4,"Rua Santa Terezinha",,"Dias d'Ávila",42850000,"Dias d'Ávila",here_geocoder,-12.61299,-38.31441,18.637886111178,1,2,0.27536231884058
