"","X1","idLV","SG_UF","CD_LOCALIDADE_TSE","NM_LOCALIDADE","NR_ZONA","NR_LOCVOT","NM_LOCVOT","DS_ENDERECO","DS_BAIRRO","NR_CEP","n_locs","street_name","street_number","locality","postal_code","sub_locality","provider","latitude","longitude","dispersion","clusters_count","providers_count","levenshtein_match_street_name"
"1",13,580411521155,"RJ",58041,"BELFORD ROXO",152,1155,"EDUCANDÁRIO FREI FABIANO","RUA ESPINHARES QD 1 LT 18","PARQUE SAO JOSE",26190090,10,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"2",36,580411531082,"RJ",58041,"BELFORD ROXO",153,1082,"COLEGIO EVANGELICO ALMEIDA BARROS","AV. PRES. KENNEDY 2875","LOTE XV",26170000,11,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"3",42,580411531147,"RJ",58041,"BELFORD ROXO",153,1147,"CIEP 027 - VINICIUS DE MORAES","RUA ISITIBA S/N","JARDIM DO IPE",26100000,18,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"4",75,580411541210,"RJ",58041,"BELFORD ROXO",154,1210,"ESCOLA MUNICIPAL YOLANDA COSTA DOS SANTOS","RUA ALMERIO 139","SUBLIME",26112010,5,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"5",83,580411551074,"RJ",58041,"BELFORD ROXO",155,1074,"COLEGIO ESTADUAL BAIRRO NOVA AURORA","RUA THOMAZ, S/N","NOVA AURORA",26155580,8,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"6",125,581061491252,"RJ",58106,"GUAPIMIRIM",149,1252,"E.M. PROFESSOR OTELO","TRAVESSA ALICE, 95 - PARQUE FLEIXAL - TEL. 2632 02 10","CENTRO",25940000,6,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"7",146,581221381511,"RJ",58122,"QUEIMADOS",138,1511,"PAROQUIA NOSSA SENHORA DE FATIMA","RUA DR. ROBSON ROMERO DE OLIVEIRA 325","VILA DO TINGUA",26385410,5,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"8",167,581221381767,"RJ",58122,"QUEIMADOS",138,1767,"ESCOLA MUNICIPAL PAULO FREIRE( IGREJA SÃO JOÃO BATISTA)","RUA ANTENOR FERREIRA, SN - VILA AMERICANA ( PRÓXIMA ESC PAULO FREIRE","VILA AMERICANA",26313300,3,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"9",180,581491391171,"RJ",58149,"JAPERI",139,1171,"ESCOLA MUNICIPAL CELITA RODRIGUES","RUA MARCO AURELIO, 78 - MARAJOARA","JARDIM MARAJOARA",26370040,5,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"10",182,581491391198,"RJ",58149,"JAPERI",139,1198,"ESCOLA MUNICIPAL SANTA TEREZINHA","ESTRADA DANIEL, S/N - SANTA TEREZINHA","SANTA TEREZINHA",26400000,7,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"11",188,581491391287,"RJ",58149,"JAPERI",139,1287,"POSTO DE SAUDE DE ENGENHEIRO PEDREIRA","AV. GUANDU, S/N - MUCAJA","PARQUE MUCAJA",26370000,8,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"12",192,581491391325,"RJ",58149,"JAPERI",139,1325,"CIEP 402","AV. GUANDU, S/N - COSME E DAMIÃO","COSME E DAMIAO",26370000,10,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"13",194,581491391341,"RJ",58149,"JAPERI",139,1341,"CNEC - CAMPANHA NACIONAL DE ESCOLAS DA COMUNIDADE","ESTRADA MIGUEL PEREIRA, S/N","NOVA BELEM",26380430,8,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"14",461,583781041155,"RJ",58378,"ITABORAÍ",104,1155,"GRUPO ESTADUAL 11 DE JUNHO","ESTRADA AMARAL PEIXOTO KM. 34","VENDA DAS PEDRAS",24805000,6,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"15",464,583781041180,"RJ",58378,"ITABORAÍ",104,1180,"ESCOLA MUNICIPALIZADA MANOEL NAZARENO DA COSTA BARROS","RODOVIA AMARAL PEIXOTO, KM 34","VENDA DAS PEDRAS",24800000,3,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"16",468,583781041236,"RJ",58378,"ITABORAÍ",104,1236,"COLÉGIO MUNICIPAL SÍMACO RAMOS DE ALMEIDA","CENTRO DE PORTO DAS CAIXAS S/N","PORTO DAS CAIXAS",24870000,3,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
"17",475,583781041716,"RJ",58378,"ITABORAÍ",104,1716,"CIEP 129-JOSÉ MARIA NANCI","RODOVIA AMARAL PEIXOTO, KM 34","VENDA DAS PEDRAS",24805000,18,"NA","NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA
